,logo_id,photo_id,brand,count,area,width,height,area_size,mean_X,mean_Y,distance,section,pct_of_logo,from
2753,5,521.2012-09-02,nike,1,15421.6,612,612,374544,0.5968668300653596,0.7740073529411764,0.29062555330311485,Z8,0.04117433465761032,instagram
2754,5,551.2012-08-12,nike,1,1092.54,612,612,374544,0.4414011437908497,0.088125,0.4160226455062521,Z2,0.0029169870562604124,instagram
2755,5,549.2012-08-16,nike,1,842.81,612,612,374544,0.5062499999999999,0.4161151960784314,0.08411731586873186,Z5,0.0022502296125421844,instagram
2756,5,548.2012-08-16,nike,1,91676.25,612,612,374544,0.5548774509803922,0.5974836601307191,0.11186866683118593,Z5,0.24476763744713573,instagram
2757,5,544.2012-08-16,nike,1,250.71,612,612,374544,0.8074714052287582,0.9793709150326796,0.5695042925322125,Z9,0.0006693739587338203,instagram
2758,5,543.2012-08-16,nike,1,6107.28,612,612,374544,0.2009232026143791,0.6389869281045751,0.3297943251761408,Z4,0.016305907984108674,instagram
2759,5,542.2012-08-16,nike,1,2459.13,612,612,374544,0.7330433006535948,0.3221200980392157,0.2931730538455061,Z3,0.006565663847238242,instagram
2760,5,541.2012-08-17,nike,1,3166.54,612,612,374544,0.7080392156862745,0.5236111111111111,0.2093747831790196,Z6,0.008454387201503695,instagram
2761,5,540.2012-08-17,nike,1,343.98,612,612,374544,0.5366421568627451,0.4381821895424836,0.07186159857194549,Z5,0.000918396770472895,instagram
2762,5,538.2012-08-17,nike,1,2332.92,612,612,374544,0.4107066993464053,0.5669771241830066,0.11162091517918653,Z5,0.006228694092015891,instagram
2763,5,533.2012-08-19,nike,1,1254.36,612,612,374544,0.4611192810457516,0.6076184640522876,0.11442658830609592,Z5,0.003349032423426887,instagram
2764,5,531.2012-08-21,nike,1,434.96,612,612,374544,0.24252859477124186,0.5355187908496732,0.2599098093837442,Z4,0.0011613054807979835,instagram
2765,5,530.2012-08-21,nike,1,795.8,612,612,374544,0.11663398692810455,0.9052573529411764,0.5578557359134438,Z7,0.002124716989192191,instagram
2766,5,529.2012-08-23,nike,1,696.43,612,612,374544,0.8765972222222222,0.8825326797385621,0.5368023089121908,Z9,0.0018594077064376948,instagram
2767,5,527.2012-08-23,nike,1,225.12,612,612,374544,0.8437214052287582,0.4697630718954249,0.34504880268395866,Z6,0.0006010508778674869,instagram
2768,5,526.2012-08-23,nike,1,324.32,612,612,374544,0.2506576797385621,0.4466380718954249,0.2549884076666924,Z4,0.0008659062753641762,instagram
2769,5,524.2012-08-30,nike,1,377.65,612,612,374544,0.5242279411764705,0.8550653594771241,0.3558909982484383,Z8,0.0010082927506514588,instagram
2770,5,523.2012-09-02,nike,1,5887.12,612,612,374544,0.4117238562091504,0.5966380718954248,0.13088771715576694,Z5,0.015718099876116023,instagram
2771,5,519.2012-09-07,nike,1,249.6,612,612,374544,0.23662173202614376,0.8034191176470589,0.4017851079801592,Z7,0.0006664103549916698,instagram
2772,5,807.2012-04-19,nike,1,164.23,612,612,374544,0.7606617647058824,0.5126838235294118,0.2609701802101345,Z6,0.0004384798581742065,instagram
2773,5,273.2014-04-25,nike,1,180.03,640,640,409600,0.5634609374999999,0.62275390625,0.13818759744641593,Z5,0.0004395263671875,instagram
2774,5,809.2012-04-18,nike,1,336.41,612,612,374544,0.3390400326797386,0.3346160130718955,0.2307812258654829,Z5,0.0008981855269340853,instagram
2775,5,813.2012-04-10,nike,1,3601.93,612,612,374544,0.44276552287581705,0.8585702614379085,0.3631093743754472,Z8,0.009616840745012602,instagram
2776,5,816.2012-04-03,nike,1,432.27,612,612,374544,0.5895057189542483,0.6856821895424837,0.2061289626394305,Z8,0.001154123414071511,instagram
2777,5,817.2012-04-03,nike,1,382.23,612,612,374544,0.5804779411764706,0.5761805555555556,0.11081595580401113,Z5,0.001020520953479431,instagram
2778,5,826.2012-03-14,nike,1,1386.29,612,612,374544,0.3913766339869281,0.08843545751633987,0.4256576186018456,Z2,0.0037012740826177963,instagram
2779,5,828.2012-03-13,nike,1,5412.22,612,612,374544,0.9551919934640524,0.7381821895424837,0.513741672758819,Z9,0.014450158058866248,instagram
2780,5,845.2012-03-07,nike,1,3661.89,612,612,374544,0.29776552287581703,0.8440972222222223,0.3991261480769471,Z7,0.00977692874535435,instagram
2781,5,849.2012-02-22,nike,1,1245.11,612,612,374544,0.057414215686274514,0.5925612745098039,0.452161216841377,Z4,0.003324335725575633,instagram
