BrandID,PhotoID,PostURL,PhotoURL,PostDate,PostTime,DownloadDate,Type,Like,LikeAlbum,Comments,Comments_album,NumHashtags,Content,ContentWithoutLink,,1SNS,2brand,3model,31number,32face,33body,34modelposition,4background,5text,51words,52,53textposition,54promotingmessa,6brandname,61brandexpose,62,63brandposition,64brandvisib,65partofprod,66whproduct,7logo,71logoexposure,72,73logoposition,74logotype,75logovisib,76logopartofprod,8product,81productexpose,82,83productposition,9,10angle,11,12hashtag,12_1number,12_2_1content,12_2_2,12_2_3,12_2_4,12_2_5,12_2_6,13text,ContentWithoutLink2,13_2promo,13_3link
1,11,https://www.facebook.com/hmtheus/photos/a.1514853132086268.1073741828.1500573333514248/2026248887613354/?type=3&theater,https://scontent-icn1-1.xx.fbcdn.net/v/t1.0-9/26169977_2026248887613354_5521454936750687527_n.jpg?_nc_cat=0&_nc_eui2=AeFWB3x1yNALvmL2jLL-pbgWBN0Bu-lLZp5CAf8ayAnFR_k3823Q-zwgTk1IyvRRxqJKEIdxttrDHcnLeIGFbyzvC2d0P1xWSokKUNhCAKBuHw&oh=82730046f1612bd50c581e5aa66846b5&oe=5BB6F524,2018-01-03,0:00,2018-05-26,PICTURE,341,,6,,0,"Your most stylish workout starts here! 

Shop H&M sport: http://hm.info/1afar","Your most stylish workout starts here! 

Shop H&M sport: http://hm.info/1afar",,1,1,2,,,,,1,2,,,,,1,1,,"2,3,9",1,1,1,1,1,,"2,3,9",2,1,1,1,1,,"1,2,3,4,5,6,7,8,9",,3,,2,,,,,,,,1,"Your most stylish workout starts here! 

Shop H&M sport: ",1,1
1,12,https://www.facebook.com/hmtheus/photos/a.1514853132086268.1073741828.1500573333514248/2025995447638698/?type=3&theater,https://scontent-icn1-1.xx.fbcdn.net/v/t1.0-9/26168984_2025995447638698_876049617370047096_n.jpg?_nc_cat=0&_nc_eui2=AeGSJdWZqn19U8vYqVzwd_HHZBM3d1SCNBic5YUqScUvgTqIYo4fqX6WUwQs80Vpnn7S_29Wrfuu_3MWN65g7VO0vPLqQGH2iWrb1aKiCRE6jw&oh=88eee44fcc69acbde58b080ad75cbecd&oe=5B8033A4,2018-01-02,22:00,2018-05-26,PICTURE,235,,9,,0,"This week's best new items, curated by H&M Magazine! http://hm.info/19ehd","This week's best new items, curated by H&M Magazine! ",,1,1,2,,,,,1,2,,,,,1,1,,8,2,1,9,1,1,,8,2,2,1,1,1,,"1,2,3,4,5,6,7,8,9",,3,,2,,,,,,,,1,"This week's best new items, curated by H&M Magazine! ",2,1
1,13,https://www.facebook.com/hmtheus/photos/ms.c.eJwzMjAytTC2tDAyMTYysDQy1zOCCphBBIxhApbmBpYW5qbmlgACygo7.bps.a.2025839810987595.1073742302.1500573333514248/2025839824320927/?type=3&theater,https://scontent-icn1-1.xx.fbcdn.net/v/t1.0-9/26167542_2025839824320927_286755472032521853_n.jpg?_nc_cat=0&_nc_eui2=AeFUeZGA8rTPudR8Wdlw9Pjg-3MOQCmMFtv9yqAcpn3fc5eZb3K_KNKYzFEPu47dUwz3BQLDz8naDI9mWqXWqGshsbFk9vUrdYnmYZK7TSap7A&oh=28b89de2e870101c9c167dee580f7cfa&oe=5BB11AD6,2018-01-02,10:00,2018-05-26,PICTURE,5,249,0,10,0,"No need to stow away last year's faves just yet! 

Bring them into the new year: http://hm.info/1adik","No need to stow away last year's faves just yet! 

Bring them into the new year: http://hm.info/1adik",,1,1,1,1,1,1,"1,2,3,4,5,6,7,8,9",3,2,,,,,2,,,,,,,2,,,,,,,1,1,,"1,2,3,4,5,6,7,8,9",,3,,2,,,,,,,,1,"No need to stow away last year's faves just yet! 

Bring them into the new year: ",2,1
1,14,https://www.facebook.com/hmtheus/photos/ms.c.eJw9zNkJADEMA9GOFlnyEfffWNiE~_PfBDMHI6l6VBbp~;~;GEBdCkbNZAXNNAn0YDlAeYD2gUbiAM2U9aFeCAZoHBtJesegQ~-~-.bps.a.2025679981003578.1073742301.1500573333514248/2025679987670244/?type=3&theater,https://scontent-icn1-1.xx.fbcdn.net/v/t1.0-9/26112053_2025679987670244_4933775868986437656_n.jpg?_nc_cat=0&_nc_eui2=AeGEQDzSE9vZ0THIQ0LJtWZtE-i0H6QJWu4yC3OlTK9qKUU_TPgU6FOvhSeUVN2qyMjGDncLHgPxr8fcYxdvS5Vu-f0hmI_XxiYrZ6zDm0PZqQ&oh=165102afafbcfb08122fa2015b2cb5e4&oe=5B88F0AD,2018-01-02,2:00,2018-05-26,PICTURE,6,159,0,9,0,Vibrant shades and vivid prints: get a glimpse of the new season in stores and online: http://hm.info/1adid,Vibrant shades and vivid prints: get a glimpse of the new season in stores and online: ,,1,1,1,1,1,1,"2,4,5,6,8,9",3,1,2,,7,2,2,,,,,,,2,,,,,,,1,1,,"2,4,5,6,8,9",,3,,2,,,,,,,,1,Vibrant shades and vivid prints: get a glimpse of the new season in stores and online: ,1,1
1,15,https://www.facebook.com/hmtheus/photos/a.1514853132086268.1073741828.1500573333514248/2025386027699640/?type=3&theater,https://scontent-icn1-1.xx.fbcdn.net/v/t1.0-9/26166983_2025386027699640_2009397949219606968_n.jpg?_nc_cat=0&_nc_eui2=AeHg2eKBe9fKXrAC8kkPwuoj55gUT5zuNRqWQLX0ACU9-k7hZWU0CH76Y0UrpKck852DsJTBP6LHQZyNw7XYQO7hBVSHDTRrWTwb9_gMa5tcBQ&oh=7bf4e9f9930d4caa043ee0ac06cb6569&oe=5BBF5F4D,2018-01-01,14:00,2018-05-26,PICTURE,418,,7,,0,Happy New Year! Let's celebrate this year in style!,Happy New Year! Let's celebrate this year in style!,,1,1,2,,,,,1,2,,,,,2,,,,,,,2,,,,,,,2,,,,,3,,2,,,,,,,,1,Happy New Year! Let's celebrate this year in style!,2,2
1,16,https://www.facebook.com/hmtheus/photos/a.1514853132086268.1073741828.1500573333514248/2025289731042603/?type=3&theater,https://scontent-icn1-1.xx.fbcdn.net/v/t1.0-9/26169283_2025289731042603_2863907215914504349_n.jpg?_nc_cat=0&_nc_eui2=AeEVDvj_POgvqW4VyKImST4AubQpFVawY0ppTXpJuxvm-PtT4MqwA85JfFnZiFklGH_efuVOtqy9dULeBzB31zqFL0APFLXE-H7FAohvJpsG-w&oh=dc0745cd8f406ce866078d4d374fe652&oe=5BC4AB37,2018-01-01,10:00,2018-05-26,PICTURE,286,,15,,0,"It's your time to sparkle!

Dress up here: http://hm.info/1af1f","It's your time to sparkle!

Dress up here: http://hm.info/1af1f",,1,1,1,4,1,1,"1,2,3,4,5,6,7,8,9",2,2,,,,,2,,,,,,,2,,,,,,,1,1,,"1,2,3,4,5,6,7,8,9",,4,,2,,,,,,,,1,"It's your time to sparkle!

Dress up here: ",2,1
1,17,https://www.facebook.com/hmtheus/videos/2020050428233200/,https://m.facebook.com/story.php?story_fbid=2020050428233200&id=1500573333514248&_rdr,2018-01-01,2:00,2018-05-26,VIDEO,50,,6,,0,Set yourself up for success. 😉,Set yourself up for success. 😉,,1,1,2,,,,,1,2,,,,,2,,,,,,,2,,,,,,,2,,,,,3,,2,,,,,,,,1,Set yourself up for success. 😉,2,2
1,18,https://www.facebook.com/hmtheus/photos/a.1514853132086268.1073741828.1500573333514248/2024575947780648/?type=3&theater,https://scontent-icn1-1.xx.fbcdn.net/v/t1.0-9/26165265_2024575947780648_9153739506724695962_n.jpg?_nc_cat=0&oh=6bc319f898ee063720fbc0cc532eabd3&oe=5B7E943B,2017-12-31,11:01,2018-05-26,PICTURE,207,,9,,0,"Get your holiday glow on! 

New H&M Beauty: http://hm.info/1aeyc","Get your holiday glow on! 

New H&M Beauty: http://hm.info/1aeyc",,1,1,2,,,,,1,2,,,,,1,1,,"4,5",1,1,9,1,1,,"4,5",2,1,1,1,1,,"1,2,3,4,5,6,7,8,9",,3,,2,,,,,,,,1,"Get your holiday glow on! 

New H&M Beauty: ",2,1
1,19,https://www.facebook.com/hmtheus/photos/a.1514853132086268.1073741828.1500573333514248/2024346197803623/?type=3&theater,https://scontent-icn1-1.xx.fbcdn.net/v/t1.0-9/26001391_2024346197803623_8166986871646073067_n.jpg?_nc_cat=0&oh=71505b627de21142c6f8fff794fa111c&oe=5B836B9B,2017-12-31,0:30,2018-05-26,PICTURE,288,,8,,0,"How do you treat yourself today?

Get this look in stores or online: http://hm.info/1aex3","How do you treat yourself today?

Get this look in stores or online: http://hm.info/1aex3",,1,1,2,,,,,1,2,,,,,2,,,,,,,2,,,,,,,1,1,,"1,2,3,4,5,6,7,8,9",,3,,2,,,,,,,,1,"How do you treat yourself today?

Get this look in stores or online: ",1,1
1,20,https://www.facebook.com/hmtheus/photos/a.1514853132086268.1073741828.1500573333514248/2023529754551934/?type=3&theater,https://scontent-icn1-1.xx.fbcdn.net/v/t1.0-9/26168311_2023529754551934_4224968578679424939_n.png?_nc_cat=0&oh=767f3ff90dabea5e44fb298e81f848b2&oe=5B7F6CE7,2017-12-30,23:00,2018-05-26,PICTURE,71,,4,,0,"Toast to this - our best sellers are on sale! Save up to 70% off our favorite styles. Hurry, this expires at midnight!","Toast to this - our best sellers are on sale! Save up to 70% off our favorite styles. Hurry, this expires at midnight!",,1,1,1,1,1,1,"1,2,4,5,6,8",3,1,11,,"4,5,6",1,2,,,,,,,2,,,,,,,1,1,,"1,2,4,5,6,8",,3,,2,,,,,,,,1,"Toast to this - our best sellers are on sale! Save up to 70% off our favorite styles. Hurry, this expires at midnight!",1,2
